k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
456,1-3,44308883.753913395,-32.306644714047586,2,0-1-3,10.48900391225677,-1.2712396277848326,3
458,2-3,20985388.41726929,-31.585275850401196,2,0-1-3,10.527068886160055,-1.2826657754724105,3
460,2-3,12569233.58496493,-30.565301742299805,2,0-1-3,10.565654594304782,-1.2943961983051522,3
462,0-3,15307432.936773011,-31.591682308685577,2,0-1-3,10.604660097220794,-1.3063972995875446,3
464,1-3,23140826.555853635,-31.023435893510545,2,0-1-3,10.643983390355299,-1.3186350169052679,3
466,0-3,23356295.58515399,-32.44433944474344,2,0-1-3,10.683521848553653,-1.3310749867662857,3
468,1-3,19187911.674230188,-30.658180633771824,2,0-1-3,10.723172666247843,-1.3436827041663202,3
470,1-3,44313199.16940027,-32.33717448066173,2,0-1-3,10.762833289934225,-1.3564236758762318,3
472,0-3,12776166.879995782,-31.251086556763077,2,0-1-3,10.802401839525508,-1.369263566358645,3
474,1-3,25584895.98972576,-31.24911517630618,2,0-1-3,10.841777515515583,-1.3821683354131284,3
476,0-3,9792725.310450684,-30.729231067119066,2,0-1-3,10.880860989087713,-1.395104366793972,3
478,1-3,25585455.5432195,-31.260252020227874,2,0-1-3,10.919554772726723,-1.408038587242297,3
480,0-3,12762418.085966943,-31.269794663194393,2,0-1-3,10.957763569105381,-1.4209385755063058,3
482,0-3,10784481.312972778,-30.938687690303844,2,0-1-3,10.995394596461344,-1.433772661103799,3
484,2-3,19208361.143369403,-31.484485393672404,2,0-1-3,11.032357889002984,-1.4465100127159713,3
486,0-3,40343877.682387,-33.589193051622324,2,0-1-3,11.068566571223066,-1.4591207162398798,3
488,0-3,16469690.91966512,-31.803485287913702,2,0-1-3,11.103937105434664,-1.471575842660977,3
490,0-3,10416362.309604932,-30.89344415265012,2,0-1-3,11.138389512053532,-1.4838475059916094,3
492,1-3,54276761.61039557,-32.80604810199814,2,0-1-3,11.171847562643142,-1.4959089116537911,3
494,1-3,29012112.24705273,-31.55938384416941,2,0-1-3,11.204238945911317,-1.507734395731168,3
496,1-3,34327499.61014372,-31.901944617630313,2,0-1-3,11.23549540717835,-1.5192994556014328,3
498,2-3,13944413.352016633,-30.885495921843606,2,0-1-3,11.26555286212584,-1.5305807725114908,3
500,2-3,103390332.34390306,-34.897890847610576,2,0-1-3,11.294351485750433,-1.5415562266827125,3
502,0-3,11655508.779218845,-31.15740222329023,2,0-1-3,11.321835777770593,-1.552204905585103,3
504,2-3,10384832.222640796,-30.3121859666368,2,0-1-3,11.347954605788695,-1.5625071060123954,3
506,2-3,23096292.157370076,-31.915909934920204,2,0-1-3,11.372661227670031,-1.572444330606836,3
508,2-3,16973783.005700354,-31.304803389138637,2,0-1-3,11.395913294742089,-1.5819992794842546,3
510,0-3,18080946.701354675,-32.06219803526649,2,0-1-3,11.417672837347455,-1.591155837573706,3
512,2-3,13544389.530310934,-30.862639464505293,2,0-1-3,11.437906234535642,-1.5998990583109602,3
514,0-2,28795713.801518857,-34.486149217045586,2,0-1-3,11.456584169451634,-1.6082151442529602,3
516,1-3,44312694.15164883,-32.47019845739504,2,0-1-3,11.473681572157874,-1.6160914251917573,3
518,2-3,11586103.114956079,-30.562608656849147,2,0-1-3,11.489177551502417,-1.6235163342955543,3
520,2-3,18193176.72101007,-31.46874529188116,2,0-1-3,11.503055317589904,-1.6304793827698134,3
522,2-3,12292929.565836158,-30.68812281911554,2,0-1-3,11.515302096438916,-1.6369711335154968,3
524,,inf,-inf,0,0-1-3,11.525909038190084,-1.6429831741954195,3
526,2-3,14243386.96351518,-30.98877800211701,2,0-1-3,11.5348711202952,-1.6485080901136167,3
528,0-3,12257731.913653586,-31.341203281643985,2,0-1-3,11.54218704689901,-1.653539437252196,3
530,1-3,18613546.254876673,-30.768093566197358,2,0-1-3,11.547859145617197,-1.6580717157944482,3
532,0-3,20362261.69221453,-32.367450757384205,2,0-1-3,11.55189326274832,-1.662100344411522,3
534,1-3,27133179.356688414,-31.529474655628505,2,0-1-3,11.554298657899148,-1.6656216355703357,3
536,1-3,14011405.607467826,-30.211209573470192,2,0-1-3,11.555087898884675,-1.668632772084333,3
538,2-3,15777646.943802856,-31.20557833006874,2,0-1-3,11.554276757630314,-1.6711317850910739,3
540,2-3,14449111.172126306,-31.030753001514174,2,0-1-3,11.551884107756546,-1.6731175336258661,3
542,2-3,16347487.134203946,-31.278459087693342,2,0-1-3,11.547931824432917,-1.6745896859324905,3
544,1-3,34320117.50566593,-32.01470713083501,2,0-1-3,11.542444686896571,-1.675548702607987,3
546,,inf,-inf,0,0-1-3,11.535450284078255,-1.6759958216822186,3
