t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
73.74,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5851371746910761,0.5084666666667208,low_power,0.22886967293633126,0.0001201557824629953,0.2691882352941463,0.13507069122767912
73.75,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5842207796377366,0.5084000000000541,low_power,0.2288387331678811,0.00012005873223092237,0.26915294117649924,0.13504374353458604
73.76,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.584249778788653,0.5083333333333875,low_power,0.2288116766304625,0.00012027750302762949,0.2691176470588522,0.13505531233077972
73.77,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5843305163557074,0.5082666666667208,low_power,0.22878460074519608,0.00012027895277881205,0.26908235294120514,0.13506690496954066
73.78,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5843592921905293,0.5082000000000542,low_power,0.22875753848783556,0.000120393482671928,0.2690470588235581,0.13507852080721872
73.79,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5844432870687527,0.5081333333333875,low_power,0.22873046775348133,0.00012039964400381864,0.26901176470591104,0.13509016024352083
73.8,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6241020040330908,0.5080666666667208,low_power,0.22869883309822597,0.00011994171273167844,0.26897647058826396,0.13505662456341594
73.81,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6242437775693592,0.5080000000000542,low_power,0.22867175482268629,0.00011993839713450561,0.26894117647061694,0.13506819806479275
73.82000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6243325254711956,0.5079333333333875,low_power,0.22864469108325058,0.00012005749019905604,0.26890588235296986,0.1350797945185478
73.83,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.624478467250014,0.5078666666667209,low_power,0.2286176179022336,0.00012005869941589405,0.26887058823532284,0.1350914144403369
73.84,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6245847548241912,0.5078000000000542,low_power,0.22859058623035794,0.00012045261908809259,0.26883529411767576,0.1351030567430851
